source_stage,source_country,target_stage,target_country,value
processing,other,consumption,USA,9094926302.659365
processing,other,consumption,EU27,10298962340.17955
processing,other,consumption,other,86929286915.46692
consumption,Australia,End-use,agrifood,72907538.6656273
consumption,Australia,End-use,mining,302090876.2678495
consumption,Australia,End-use,manufacturing,384167536.420395
consumption,Australia,End-use,machinery_electronics,672682484.6698077
consumption,Australia,End-use,auto,289437332.0407399
consumption,Australia,End-use,electricity,29785199.37853592
consumption,Australia,End-use,gas_water,2473646.0420908113
consumption,Australia,End-use,construction,850677361.2082318
consumption,Australia,End-use,service,780240247.0660524
consumption,Australia,End-use,transportation,72300252.74471359
consumption,Australia,End-use,waste,22635128.00860787
consumption,Australia,End-use,other_sec,79333867.07622495
consumption,Brazil,End-use,agrifood,225925767.18364915
consumption,Brazil,End-use,mining,71398464.95007373
consumption,Brazil,End-use,manufacturing,1123934434.202467
consumption,Brazil,End-use,machinery_electronics,2584790179.9016576
consumption,Brazil,End-use,auto,686250398.8886563
consumption,Brazil,End-use,electricity,1466450.1529428067
consumption,Brazil,End-use,gas_water,6499420.663166585
consumption,Brazil,End-use,construction,1132414652.6848338
consumption,Brazil,End-use,service,555702564.3683211
consumption,Brazil,End-use,transportation,89124191.9424757
consumption,Brazil,End-use,waste,79174637.67859703
consumption,Brazil,End-use,other_sec,25460925.46363504
consumption,China,End-use,agrifood,1582007612.0236835
consumption,China,End-use,mining,112895676.44550098
consumption,China,End-use,manufacturing,4990073360.128658
consumption,China,End-use,machinery_electronics,52126963472.16888
consumption,China,End-use,auto,9488043071.320961
consumption,China,End-use,electricity,90596524.31625457
consumption,China,End-use,gas_water,127596110.3454915
consumption,China,End-use,construction,109518342463.70699
consumption,China,End-use,service,13749806417.085957
consumption,China,End-use,transportation,246148771.22826153
consumption,China,End-use,waste,2035308.428796269
consumption,China,End-use,other_sec,1780077194.9673846
consumption,Indonesia,End-use,agrifood,64103276.07376827
consumption,Indonesia,End-use,mining,352593115.2824665
consumption,Indonesia,End-use,manufacturing,876829525.8339715
consumption,Indonesia,End-use,machinery_electronics,575885244.8575553
consumption,Indonesia,End-use,auto,86420608.85802712
consumption,Indonesia,End-use,electricity,6823607.785674285
consumption,Indonesia,End-use,gas_water,918493.0096773027
consumption,Indonesia,End-use,construction,3313362843.912402
consumption,Indonesia,End-use,service,156186618.6381128
consumption,Indonesia,End-use,transportation,12547631.827722302
consumption,Indonesia,End-use,waste,42597855.132741734
consumption,Indonesia,End-use,other_sec,111543964.36334746
consumption,Japan,End-use,agrifood,432993232.3062704
consumption,Japan,End-use,mining,34173338.69903002
consumption,Japan,End-use,manufacturing,566181115.2915239
consumption,Japan,End-use,machinery_electronics,3628046481.6225204
consumption,Japan,End-use,auto,894622878.2167225
consumption,Japan,End-use,electricity,714360742.4457878
consumption,Japan,End-use,gas_water,80161124.1402988
consumption,Japan,End-use,construction,1252850019.6368425
consumption,Japan,End-use,service,1210660077.0607166
consumption,Japan,End-use,transportation,129134149.31485127
consumption,Japan,End-use,waste,19721549.26244755
consumption,Japan,End-use,other_sec,322807628.10421395
consumption,USA,End-use,agrifood,544640426.4692118
consumption,USA,End-use,mining,421935352.7974353
consumption,USA,End-use,manufacturing,3237216993.6069937
consumption,USA,End-use,machinery_electronics,7580765367.210859
consumption,USA,End-use,auto,3394608700.580126
consumption,USA,End-use,electricity,49032402.48480146
consumption,USA,End-use,gas_water,108695878.77206568
consumption,USA,End-use,construction,2098831030.4154541
consumption,USA,End-use,service,6283565143.126919
consumption,USA,End-use,transportation,114493149.79081117
consumption,USA,End-use,waste,53403004.2317468
consumption,USA,End-use,other_sec,796417843.5725336
consumption,EU27,End-use,agrifood,1401976553.3128393
