source_stage,source_country,target_stage,target_country,value
consumption,Australia,End-use,machinery_electronics,65788788.414180845
consumption,Australia,End-use,auto,46409875.29436784
consumption,Australia,End-use,electricity,2933361.765557135
consumption,Australia,End-use,gas_water,306635.4575103366
consumption,Australia,End-use,construction,104636614.13398317
consumption,Australia,End-use,service,82763623.49525294
consumption,Australia,End-use,transportation,10316644.477503616
consumption,Australia,End-use,waste,3107356.2304065228
consumption,Australia,End-use,other_sec,9423906.195042478
consumption,Brazil,End-use,agrifood,46443216.74054295
consumption,Brazil,End-use,mining,35324459.239664994
consumption,Brazil,End-use,manufacturing,236181420.92922294
consumption,Brazil,End-use,machinery_electronics,322462361.4942085
consumption,Brazil,End-use,auto,176075779.82622123
consumption,Brazil,End-use,electricity,1872955.7976836185
consumption,Brazil,End-use,gas_water,471027.42828783306
consumption,Brazil,End-use,construction,198971591.39542994
consumption,Brazil,End-use,service,85858212.84640388
consumption,Brazil,End-use,transportation,16482572.615723506
consumption,Brazil,End-use,waste,9997498.459421529
consumption,Brazil,End-use,other_sec,3466363.912577637
consumption,China,End-use,agrifood,178218410.6029057
consumption,China,End-use,mining,36860350.381410174
consumption,China,End-use,manufacturing,753145543.5573288
consumption,China,End-use,machinery_electronics,4277145794.517545
consumption,China,End-use,auto,1736213986.9903471
consumption,China,End-use,electricity,8195459.629148882
consumption,China,End-use,gas_water,15348710.631454024
consumption,China,End-use,construction,9526134561.316006
consumption,China,End-use,service,1513352108.5916739
consumption,China,End-use,transportation,37683078.18091944
consumption,China,End-use,waste,344770.2717998702
consumption,China,End-use,other_sec,215650426.47743896
consumption,Indonesia,End-use,agrifood,11417043.643235164
consumption,Indonesia,End-use,mining,137583640.7458366
consumption,Indonesia,End-use,manufacturing,104296375.5465885
consumption,Indonesia,End-use,machinery_electronics,53998080.096871175
consumption,Indonesia,End-use,auto,25192190.828603376
consumption,Indonesia,End-use,electricity,1440376.3698637723
consumption,Indonesia,End-use,gas_water,174302.8946779509
consumption,Indonesia,End-use,construction,405397372.5773708
consumption,Indonesia,End-use,service,23710312.6268376
consumption,Indonesia,End-use,transportation,1963554.5650980938
consumption,Indonesia,End-use,waste,6967778.7276523225
consumption,Indonesia,End-use,other_sec,21851898.156773333
consumption,Japan,End-use,agrifood,44834931.544105776
consumption,Japan,End-use,mining,10644765.063112462
